Empresa,Ticker,Setor,"Valor de Mercado",P/L,P/VP,LPA,ROE,ROIC,"Margem Líquida","Margem Bruta","Margem EBITDA","CAGR de Lucro","CAGR de Receita","Dívida Líq. / EBITDA","Liquidez Corrente"
NATURA,NATU3,"Consumo Básico",12700912750.68,-4.42,1.11,-2.36,-0.2912,0.2174,-0.1489,0.6661,0.1668,0.2183,0.0353,0.96,1.65
NEOENERGIA,NEOE3,Utilities,40419448358.4,7.97,0.98,3.56,0.1199,0.1012,0.0848,0.2670,0.2734,0.1429,0.1263,3.22,1.17
NEOGRID,NGRD3,"Tecnologia da Informação",266915564.8,18.86,0.61,0.00,0.0000,-0.0348,0.0000,0.5914,0.0539,,0.0496,-7.87,3.30
NEXPE,NEXP3,Imobiliário,7515260.27,0.07,-0.07,40.31,-1.4709,0.2239,162.4552,0.9863,-19.7405,,-0.6346,0.01,0.03
"WETZEL S/A",MWET3,"Consumo Discricionário",44247064.5,-0.94,4.98,-16.98,-3.0204,-0.0478,-0.1769,0.1423,-0.0081,0.2599,0.0620,-67.49,0.76
"MELHOR SP",MSPA3,Materiais,,-9.21,0.37,-5.11,-0.0398,-0.0119,-0.1847,0.3494,0.0500,0.1094,0.1198,20.17,1.10
"MITRE REALTY",MTRE3,Imobiliário,388193589.4,7.42,0.40,0.51,0.0540,0.0371,0.0510,0.2577,0.1071,0.0216,0.2073,4.14,2.68
"MOTIVA SA",MOTV3,Indústria,30825200000,9.74,2.02,1.62,0.2178,0.1055,0.1740,0.4744,0.4626,0.7658,0.1377,3.36,1.54
MOVIDA,MOVI3,Indústria,4902317490.79,16.31,1.75,0.79,0.1156,0.1485,0.0217,0.3246,0.4049,0.2390,0.2914,2.99,0.56
"MRS LOGIST",MRSA3B,Indústria,15855839705.65,10.36,1.86,4.60,0.1867,0.1221,0.2050,0.4683,0.5295,0.2930,0.1604,1.32,1.54
MRV,MRVE3,Imobiliário,4311322005.86,-4.25,0.83,-1.85,-0.1917,0.0824,-0.0956,0.2934,0.1707,-0.0666,0.1041,4.48,2.03
MULTILASER,MLAS3,"Consumo Discricionário",1066700992.5,8.68,0.36,0.15,0.0409,-0.0004,0.0311,0.2474,0.0139,,,-3.06,1.92
"MAGAZ LUIZA",MGLU3,"Consumo Discricionário",6277395130.9,33.26,0.60,0.26,0.0182,-2.6057,0.0053,0.2985,0.0720,-0.1218,0.0581,1.04,1.15
MILLS,MILS3,Indústria,3121595499.31,10.77,2.06,1.28,0.1919,0.1307,0.1637,0.6274,0.4972,0.4541,0.2941,1.40,2.20
MINASMAQUINA,MMAQ3,"Consumo Discricionário",,2.28,0.36,1118.89,0.1491,-0.0285,0.0328,0.0876,-0.0042,0.1547,0.1679,-6.93,1.50
MINUPAR,MNPR3,"Consumo Básico",283293990,0.58,1.57,7.19,7.2411,0.8338,1.1702,0.2728,0.1861,0.9854,0.1093,-1.52,2.83
"MONT ARANHA",MOAR3,"Holdings Multissetoriais",,23.51,0.81,2.60,0.0306,-0.0292,2379.2391,1.0000,-749.4130,-0.0622,-0.6035,17.34,3.60
MUNDIAL,MNDL3,"Consumo Básico",,-8.22,1.34,-2.21,-0.1509,0.0870,-0.0216,0.3824,0.1211,-0.0783,0.1465,4.35,0.77
"MATER DEI",MATD3,Saúde,1801163655,17.29,1.31,0.33,0.0758,0.0866,0.0508,0.2995,0.2232,,,1.60,3.04
"IMC S/A",MEAL3,"Consumo Discricionário",286676540,-1.79,0.31,-0.52,-0.1616,-0.0167,-0.0807,0.3326,0.0712,1.1375,0.0987,2.27,1.01
M.DIASBRANCO,MDIA3,"Consumo Básico",7447830000,11.82,0.95,1.95,0.0809,0.0783,0.0632,0.3216,0.1197,-0.0289,0.0755,-0.39,2.61
"MANGELS INDL",MGEL3,"Consumo Discricionário",74311326.21,3.01,3.08,8.30,1.7779,0.2974,0.0452,0.1272,0.1024,1.4637,0.1425,4.56,0.46
MARFRIG,MBRF3,"Consumo Básico",30603828637.64,84.69,2.68,0.26,0.0492,-0.0788,0.0022,0.1225,0.0784,-0.3587,0.1940,3.84,1.08
MELNICK,MELK3,Imobiliário,691002292.35,6.33,0.67,0.54,0.1039,0.0582,0.1003,0.2438,0.1120,0.2139,0.1395,3.39,2.60
"MERC FINANC",MERC3,Financeiro,,,,,0.0533,,0.2706,0.9843,,,0.1519,,
"MOURA DUBEUX",MDNE3,Imobiliário,3154569706.38,7.99,2.21,4.03,0.2536,0.1812,0.1784,0.3491,0.2132,0.2055,0.3564,0.65,2.18
CEMEPE,MAPT3,Financeiro,3160747.8,-26.76,-0.42,-0.11,0.0159,0.0129,,,,0.1041,0.0000,0.00,0.00
"LOG COM PROP",LOGG3,Imobiliário,2340567862.56,6.85,0.67,4.04,0.0955,0.0255,1.4255,0.9718,0.7480,0.2043,0.1194,11.93,1.03
LOG-IN,LOGN3,Indústria,3433807552,36.86,3.17,0.87,0.0889,0.0379,0.0304,0.1694,0.2007,0.4852,0.2230,2.25,1.42
QUERO-QUERO,LJQQ3,"Consumo Discricionário",397281144.96,-2.56,1.02,-0.78,-0.3448,0.0138,-0.0581,0.3243,0.0537,-0.5968,0.1146,-0.12,1.61
"LOJAS RENNER",LREN3,"Consumo Discricionário",14991923464.55,10.33,1.44,1.45,0.1416,0.2916,0.0921,0.6171,0.3105,0.0580,0.1600,-0.31,1.69
"LOPES BRASIL",LPSB3,Imobiliário,237562955.91,5.51,1.03,0.30,0.1820,0.1396,0.2176,0.7704,0.3072,0.3187,0.0402,-1.15,1.50
LUPATECH,LUPA3,Energia,39747206.52,-3.66,0.33,-0.22,-0.0851,-0.2023,-0.1480,0.1684,-0.3679,-0.1718,0.0889,-6.76,0.82
LWSA,LWSA3,"Tecnologia da Informação",2075248927.5,-6.33,0.88,0.00,0.0000,0.0377,0.0000,0.4831,0.2010,0.1357,0.2498,-1.30,1.26
TREVISA,LUXM4,Indústria,278662560,4.57,1.00,0.90,0.2271,0.1063,0.2355,0.3073,0.2916,0.3530,0.0861,-0.21,1.79
JSL,JSLG3,Indústria,1874873784.69,26.68,1.65,0.29,0.0483,0.1044,0.0085,0.1579,0.1883,-0.1467,0.1676,3.56,1.33
"KEPLER WEBER",KEPL3,Indústria,1473705066,5.95,1.91,1.38,0.3334,0.1215,0.1663,0.2430,0.1323,0.2965,0.1729,0.08,1.96
"KLABIN S/A",KLBN11,Materiais,23927992000.19,15.04,3.09,0.26,0.1754,0.0630,0.0783,0.3539,0.4483,0.2206,0.1161,2.78,2.06
LAVVI,LAVV3,Imobiliário,2661815874.24,6.73,1.86,2.12,0.2717,0.1266,0.2351,0.3493,0.2259,0.3466,0.3741,1.01,4.46
"LIGHT S/A",LIGT3,Utilities,1717480043.64,8.44,0.33,0.57,0.0382,0.0815,0.0142,0.1675,0.1699,-0.2099,0.0278,3.13,0.82
"METAL LEVE",LEVE3,"Consumo Discricionário",4636789190,7.79,5.50,4.49,0.7237,0.3274,0.1126,0.2725,0.1929,0.3735,0.1761,0.96,1.27
TERRASANTAPA,LAND3,Imobiliário,799646054.22,177.04,1.28,0.05,0.0068,0.0241,0.0491,0.9557,0.6976,,,0.85,0.82
"ITAU UNIBANCO",ITUB4,Financeiro,452906598205.42,10.46,2.23,3.97,0.1989,,0.1160,0.3589,,0.1763,0.2049,,
ITAUSA,ITSA4,Financeiro,148616414884.46,9.51,1.77,1.47,0.1849,0.0026,1.9987,0.2437,0.1850,0.1850,0.0701,3.19,3.18
JALLESMACHAD,JALL3,Utilities,1071502779.92,10.58,0.53,0.34,0.0508,-0.0230,0.0443,0.0711,0.4649,0.0039,0.1910,3.05,3.39
"JHSF PART",JHSF3,Imobiliário,5832439601.24,3.35,0.94,2.77,0.3058,0.1226,0.5443,0.6344,0.4868,0.2409,0.2434,0.32,1.76
"JOAO FORTES",JFEN3,Imobiliário,9730086.2,-0.04,-0.03,-17.44,1.7628,-0.8670,-1.2757,-0.3368,-0.5158,,0.4327,-3.82,1.02
JOSAPAR,JOPA4,"Consumo Discricionário",233074678,21.39,0.42,1.12,0.0196,0.0600,0.0066,0.2444,0.0560,-0.1790,0.0287,4.00,2.95
HYPERA,HYPE3,Saúde,15593800656.85,13.71,1.31,1.70,0.0986,0.0893,0.1553,0.5904,0.2685,-0.0159,0.1349,3.71,1.47
"IGUATEMI S.A",IGTI3,Imobiliário,7585656806.4,6.69,0.84,0.48,0.1279,0.0927,0.3917,0.7503,0.7115,0.5008,0.1705,2.09,2.49
INEPAR,INEP4,Indústria,67016881.16,-0.16,-0.05,-9.05,0.2810,0.1387,-82.4699,-0.2690,-16.3403,-1.0274,-0.0593,-9.30,0.14
INFRACOMM,IFCM3,"Tecnologia da Informação",109701576.8,-0.54,0.31,-1.86,7.6873,-2.6255,-0.2631,0.3025,-1.5615,,,-0.26,1.91
INTELBRAS,INTB3,"Tecnologia da Informação",4521033318,9.94,1.60,1.47,0.1588,0.1221,0.1082,0.3010,0.1340,0.0804,0.1588,-0.33,2.42
"IRBBRASIL RE",IRBR3,Financeiro,4336854529.14,11.43,0.85,4.78,0.0748,,0.0750,0.1110,,-0.0425,-0.0928,,1.46
"ISA ENERGIA",ISAE4,Utilities,20038497460.56,7.83,0.91,3.72,0.1179,0.1080,0.2601,0.3935,0.3854,-0.0615,0.2055,3.82,3.76
HABITASUL,HBTS5,Imobiliário,214655326.47,3.45,0.51,10.41,0.1458,-0.1498,1.4160,0.3816,-1.0211,1.3043,-0.0800,-2.56,0.62
"HAGA S/A",HAGA3,Indústria,21697667.03,30.24,-0.63,0.00,0.0000,0.0775,0.0000,0.2311,-0.0373,-0.2677,-0.0092,27.63,2.60
HAPVIDA,HAPV3,Financeiro,4870493265.96,-25.39,0.11,-0.40,-0.0041,0.0223,-0.0110,0.2052,0.1160,-0.1865,0.1623,2.38,1.90
"HBR REALTY",HBRE3,Imobiliário,286865367.18,11.07,0.17,0.27,0.0140,0.0647,0.0516,0.3926,0.6603,,0.4710,4.38,1.78
HELBOR,HBOR3,Imobiliário,303841933.44,28.29,0.22,0.08,0.0077,0.0226,0.0100,0.3102,0.1300,-0.1574,0.0299,11.01,2.25
HERCULES,HETA3,"Consumo Discricionário",,51.92,-0.14,1.85,-0.0027,-0.1202,0.1997,1.0000,0.9030,0.2148,0.2464,76.12,0.61
HIDROVIAS,HBSA3,Indústria,5373511439.85,-39.39,2.57,-0.10,-0.0743,0.0913,-0.0629,0.4052,0.4374,-0.1079,0.0892,2.67,2.97
"HOTEIS OTHON",HOOT4,"Consumo Discricionário",50524761.6,1.98,-3.98,3.26,-1.6730,-0.5160,0.3103,0.6573,0.3346,,0.3980,-0.70,0.85
CELGPAR,GPAR3,Utilities,,-37.90,1.51,-0.37,-0.0379,-0.0143,-0.8425,0.5351,-0.4240,-0.1759,-0.2717,16.59,30.03
GENERALSHOPP,GSHP3,Imobiliário,5689868.55,0.26,0.00,11.49,-0.0159,0.3022,0.1166,0.6757,0.3528,-0.1073,0.1569,32.02,0.59
GERDAU,GGBR4,Materiais,35145971199.34,27.30,0.71,0.69,0.0253,0.0680,0.0199,0.1141,0.1364,-0.1013,0.0978,0.82,2.89
GOL,GOLL54,Indústria,9449313907.8293,-68484.87,-5256.20,0.00,0.0685,-0.8346,-0.0590,0.2724,0.2186,0.1492,0.2824,2.62,0.62
GPS,GGPS3,Indústria,12120366345.57,18.37,3.17,0.91,0.1794,0.1039,0.0396,0.1463,0.1007,,,1.34,2.98
GRENDENE,GRND3,"Consumo Discricionário",4177000800,6.63,1.36,0.71,0.1701,0.0619,0.2495,0.4524,0.1348,0.0974,0.0638,-2.84,2.05
"GRUPO MATEUS",GMAT3,"Consumo Básico",10435727333.04,3.24,1.04,1.45,0.3275,0.2395,0.0870,0.2240,0.0703,0.3571,0.2551,0.39,1.75
GUARARAPES,GUAR3,Vestuário,5130597521.88,11.25,0.87,0.00,0.0000,0.0938,0.0000,0.6081,0.1724,0.5753,0.1094,0.08,1.56
"GERDAU MET",GOAU4,Materiais,10708217257.92,23.75,0.59,0.36,0.0246,0.0678,0.0068,0.1141,0.1362,-0.1140,0.0978,0.82,2.90
FLEURY,FLRY3,Saúde,8426741800.4,14.22,1.74,1.12,0.1167,0.0929,0.0739,0.2661,0.2589,0.1899,0.2278,1.45,1.97
FRAS-LE,FRAS3,"Consumo Discricionário",5971137438.3,22.95,2.58,0.99,0.1206,0.1330,0.0504,0.3271,0.1838,0.0801,0.2687,1.41,2.41
GAFISA,GFSA3,Imobiliário,41186752.32,-0.08,0.03,-22.21,-0.2895,-0.0728,-0.8787,-0.3212,-0.4573,0.6763,-0.0686,-4.92,1.25
"INVEST BEMGE",FIGE3,Financeiro,,5.11,0.42,6.46,0.0846,0.0082,0.6230,1.0000,0.8689,0.3504,0.4032,,28.23
METALFRIO,FRIO3,"Consumo Discricionário",,28.87,2.81,5.90,0.1052,0.2061,0.0157,0.1762,0.0886,0.1652,0.1070,2.81,1.15
"GER PARANAP",GEPA4,Utilities,3305164905,13.93,1.13,11.47,0.4827,0.1231,0.7719,0.3674,0.5401,0.3056,-0.0279,1.05,0.21
UNIFIQUE,FIQE3,"Serviços de Comunicação",2661907928.82,13.38,2.50,0.52,0.1715,0.1275,0.1763,0.5168,0.4925,,,0.48,1.10
FERBASA,FESA4,Materiais,3179752250,15.39,0.88,0.53,0.0562,0.0543,0.0807,0.1761,0.1898,0.2197,0.0755,-1.41,3.06
EUCATEX,EUCA3,Materiais,1912703020.8,8.51,0.69,2.41,0.0815,0.1041,0.0719,0.3719,0.2722,0.1757,0.1155,0.68,2.32
EVEN,EVEN3,Imobiliário,1386000000,6.13,0.77,1.19,0.1244,0.0654,0.1238,0.2711,0.1391,0.7452,0.0282,1.92,4.79
EZTEC,EZTC3,Imobiliário,3759780000,7.34,0.78,1.90,0.1066,0.0475,0.3570,0.4171,0.2443,0.0571,0.0986,0.40,8.33
"FER HERINGER",FHER3,Materiais,226739165.64,-1.28,0.54,1.67,0.2156,1.0359,0.0127,0.0015,-0.0469,0.0000,-0.1037,0.17,0.73
FICA,FIEI3,Imobiliário,,-1.72,0.42,-4.64,-0.1413,-0.0579,-3.8478,0.3366,-1.5710,-0.0408,-0.3763,-2.05,0.50
FICTORALIMEN,FICT3,"Consumo Básico",19299370.2,-0.73,0.31,0.81,0.5861,0.0613,0.6227,0.0203,-0.0568,0.4510,0.0267,24.02,3.17
"EQTL PARA",EQPA5,Utilities,15423656403.72,0.91,3.39,8.71,3.7900,1.5430,1.5745,1.7237,1.7252,0.9301,0.1578,0.26,1.89
EQUATORIAL,EQTL3,Utilities,49210915406.76,30.59,1.99,1.33,0.0615,0.0856,0.0322,0.2613,0.2427,-0.1082,0.2382,3.48,1.49
ETERNIT,ETER3,Materiais,249577363,5.01,0.29,0.79,0.0592,0.0254,0.0426,0.2060,0.0661,-0.2096,0.1097,1.47,1.60
ESTRELA,ESTR4,"Consumo Discricionário",,0.17,-0.16,23.80,-0.4013,0.0373,1.2303,0.3718,-0.0762,,0.0807,-11.70,0.33
ESPACOLASER,ESPA3,"Consumo Discricionário",401179603.26,26.05,0.48,0.04,0.0181,0.0849,0.0143,0.3410,0.2461,-0.2407,0.1593,2.26,1.69
"EMBPAR S/A",EPAR3,Materiais,45324732.4,-15.72,1.14,-0.19,-0.0648,-0.1133,-1.1982,0.9875,-1.6696,-0.0989,-0.6498,0.98,2.83
"ENERGISA MT",ENMT3,Utilities,10943886947.84,12.56,2.78,3.98,0.2168,0.1507,0.0970,0.2579,0.2515,0.0515,0.1200,3.42,1.91
ENERGISA,ENGI4,Utilities,26381095304.16,11.24,1.30,0.88,0.1199,0.1174,0.0625,0.2539,0.2608,0.0856,0.1176,3.69,1.56
ENEVA,ENEV3,Utilities,46313040162.78,41.06,2.40,0.60,0.0591,0.0598,0.0629,0.2935,0.3392,0.0281,0.4153,2.71,1.13
ENJOEI,ENJU3,"Consumo Discricionário",219369249.3,-6.75,0.75,-0.17,-0.1108,-0.0838,-0.1289,0.5571,0.0383,,0.2709,-22.57,2.47
EQTLMARANHAO,EQMA3B,Utilities,4999273919.61,6.77,1.15,4.58,0.1747,0.1519,0.1077,0.2992,0.2725,0.0143,0.1118,1.85,1.39
ELETROBRAS,ELET5,"Energia - Diversos",118061277445.2,-331.86,1.59,-0.19,-0.0049,0.2145,-0.0138,0.4287,0.2493,-0.1832,0.0679,4.54,1.68
ECORODOVIAS,ECOR3,Indústria,5570673792,6.63,1.43,1.27,0.2262,0.0661,0.0769,0.3876,0.4713,0.2640,0.2356,3.97,1.52
ELEKTRO,EKTR4,Utilities,8506175051.2,8.20,3.69,4.98,0.4437,0.1758,0.1008,0.2789,0.2835,0.1423,0.0770,2.51,1.12
EMAE,EMAE3,Utilities,3151074750,17.51,3.57,8.57,0.2421,0.0763,0.5101,0.5157,0.2275,0.2307,0.0716,-3.51,7.69
EMBRAER,EMBR3,"Aeroespacial e Defesa",65079472717.16,29.18,3.01,2.64,,,,,,,,,
"ENGIE BRASIL",EGIE3,Utilities,36028105287.44,14.52,2.94,2.26,0.2089,0.1053,0.2008,0.4671,0.5349,-0.0158,0.0096,3.68,1.12
D1000VFARMA,DMVF3,"Consumo Básico",326894359.32,16.01,0.39,0.45,0.0249,0.0630,0.0085,0.2858,0.0779,1.8360,0.2236,0.12,1.08
DEXCO,DXCO3,Materiais,4209176617.68,3662.14,0.63,0.00,0.0002,-0.0226,0.0001,0.2436,0.2101,-0.6958,0.0701,2.92,2.24
DOHLER,DOHL3,"Consumo Discricionário",433153903.35,48.08,2.05,1.51,0.1629,-0.0436,0.1467,0.1947,-0.0161,0.2807,0.0361,-4.24,5.09
"DOTZ SA",DOTZ3,Financeiro,39299835.1,-97.43,-0.19,-0.04,0.0019,-0.4601,-0.0020,0.7318,0.2815,,,1.12,0.35
DTCOM-DIRECT,DTCY3,"Consumo Discricionário",,-96.98,30.90,-0.03,-0.3031,-0.2171,-0.0381,0.2975,0.1652,0.0358,-0.1366,-3.37,1.53
"ACO ALTONA",EALT3,Indústria,312750000,-103875.00,0.88,0.00,0.0000,0.0676,0.0000,0.2022,0.0914,0.3822,0.1719,1.52,1.43
"CAIXA SEGURIDADE",CXSE3,Financeiro,52260000000,12.83,4.06,1.43,0.3154,-0.0098,,,,0.1939,,6.84,1.70
"CURY S/A",CURY3,Imobiliário,10452054864.42,11.17,7.89,3.17,0.7460,0.4305,0.1807,0.3976,0.2680,0.4341,0.3637,-0.22,1.84
"CVC BRASIL",CVCB3,"Consumo Discricionário",1040670372.06,-25.42,2.17,-0.08,-0.0831,0.1604,-0.0275,0.9713,0.2761,-0.2035,0.1896,0.23,0.78
"CYRELA REALT",CYRE3,Imobiliário,11667920000,6.22,1.22,4.39,0.2017,0.0829,0.2130,0.3258,0.1829,0.0266,0.1977,2.75,3.84
DESKTOP,DESK3,"Serviços de Comunicação",2085400231.2,29.49,1.49,0.62,0.0514,0.0795,0.0587,0.6172,0.4933,,,1.91,1.41
"DEXXOS PAR",DEXP4,Financeiro,862375677.67,3.31,0.88,2.15,0.2609,0.0691,0.1238,0.1583,0.0775,0.1729,0.1652,-0.62,3.65
DASA,DASA3,Saúde,3488919593.44,-3.18,0.53,-0.92,-0.1530,0.0506,-0.1031,0.3038,0.1912,0.0868,0.0967,2.33,1.24
DIRECIONAL,DIRR3,Imobiliário,6750885000,8.77,3.61,1.52,0.3611,0.1975,0.1818,0.3966,0.2626,0.4750,0.2368,0.58,3.78
SANTANENSE,CTSA4,"Consumo Discricionário",13582231.45,-0.09,0.13,-19.47,-0.1830,-0.1412,-3.8106,-1.4389,-0.4419,-0.2088,-0.4011,-3.70,0.28
CONTAX,CTAX3,Indústria,20032767,-0.07,0.22,-10.48,-2.4891,0.0134,-0.6462,0.1615,0.0305,-0.4712,-0.1251,10.53,0.38
"CSU DIGITAL",CSUD3,Financeiro,736516000,7.02,1.60,2.54,0.2162,0.1830,0.1701,0.4135,0.2748,0.1778,0.0642,0.28,1.48
KARSTEN,CTKA4,"Consumo Discricionário",284821493.09,3.96,3.68,11.37,1.5334,0.1533,0.0929,0.4533,0.1395,-0.0261,0.1483,3.24,1.98
COPEL,CPLE6,"Energia - Diversos",17385643401,15.82,1.84,0.90,0.1065,0.0843,0.1029,0.2168,0.2348,-0.0719,0.0679,2.75,0.98
COPASA,CSMG3,Utilities,20784632751.54,15.50,2.56,3.72,0.1670,0.1181,0.1700,0.4241,0.3787,0.1164,0.0929,2.14,1.38
"SID NACIONAL",CSNA3,Materiais,8195260592.46,-4.19,0.65,-1.51,-0.1483,0.0585,-0.0447,0.2767,0.2351,-0.6515,0.0830,3.59,1.08
COSAN,CSAN3,Energia,20269177462.52,-2.20,3.58,-2.45,0.0456,0.0652,-0.2405,0.3260,0.3139,-0.0545,0.2451,3.98,1.80
"CRUZEIRO EDU",CSED3,"Consumo Discricionário",2008629461.52,6.57,1.23,0.81,0.1871,0.2250,0.1047,0.5094,0.2979,-0.0834,0.0951,0.66,1.53
CRISTAL,CRPG3,Materiais,540389898.19,-8.54,116.36,0.38,0.0258,-0.1218,0.0246,-0.0175,-0.0455,0.0000,0.1203,5.22,2.07
CELESC,CLSC4,Utilities,5380483204.06,7.64,1.40,18.91,0.1863,0.1040,0.0613,0.1674,0.1288,0.0706,0.0608,2.99,1.30
CEMIG,CMIG4,Utilities,39370541163.7,7.37,1.26,1.71,0.1723,0.1218,0.1146,0.1693,0.1820,0.1133,0.1113,2.16,1.00
COELCE,COCE5,Utilities,3054111756.25,6.86,0.49,4.57,0.0747,0.1147,0.0430,0.1938,0.2260,0.0824,0.0935,2.74,0.55
"COGNA ON",COGN3,"Consumo Discricionário",6275371166.24,10.43,0.48,0.30,0.0488,0.2202,0.0891,0.6879,0.4358,0.3019,0.0651,1.76,1.66
"CPFL ENERGIA",CPFE3,Utilities,53983120514,10.24,2.50,4.76,0.2468,0.1557,0.1236,0.3183,0.3040,0.0852,0.0750,1.94,0.93
CSNMINERACAO,CMIN3,Materiais,26603893349.75,,,0.30,0.1820,0.2719,0.0915,0.4535,0.3581,-0.1636,0.0550,0.05,1.20
CEG,CEGR3,Utilities,14280075260,23.21,6.98,2.37,0.3276,0.2665,0.1280,0.3315,0.2625,0.1181,0.0858,0.42,0.70
COELBA,CEEB3,Utilities,11784288201.76,4.79,1.60,8.13,0.2778,0.1772,0.1218,0.3033,0.3094,0.1800,0.1179,2.78,1.19
CEEE-D,CEED4,Utilities,669890347.64,-1.94,-0.32,-10.32,0.1796,0.1981,-0.1130,0.1649,0.1325,,0.1216,8.11,1.53
COMGAS,CGAS3,Utilities,16934477709.7,10.80,11.58,11.67,0.9368,0.2160,0.1334,0.3020,0.3224,0.0609,0.0686,2.22,1.53
GRAZZIOTIN,CGRA3,"Consumo Discricionário",626074309.7,4.54,0.71,5.70,0.1464,0.0948,0.1834,0.5365,0.1805,0.1395,0.1063,-1.09,2.26
"AMPLA ENERG",CBEE3,Utilities,,-499.18,0.46,,-0.0010,0.0814,-0.0009,0.1769,0.2235,0.3963,0.0942,1.86,0.68
"CEA MODAS",CEAB3,"Consumo Discricionário",3698940816,6.35,1.01,1.90,0.1682,0.1291,0.0735,0.5552,0.2114,0.1848,0.1434,-0.05,1.46
CEB,CEBR6,Utilities,2216989965,12.47,2.53,2.57,0.1810,0.0886,0.3636,0.4376,0.2965,-0.1557,-0.1863,-2.81,6.68
CEDRO,CEDO3,"Consumo Discricionário",88411694.4,-3.01,0.35,-3.27,-0.1104,0.1156,-0.0372,0.2519,0.1533,0.0427,0.0726,2.89,1.09
CBA,CBAV3,Materiais,6732091686.98,56.48,1.59,0.19,0.0277,0.0124,0.0138,0.0844,0.1123,,,3.21,1.83
CAMBUCI,CAMB3,"Consumo Discricionário",409645525.2,5.96,1.34,1.62,0.2241,0.1871,0.1785,0.4889,0.2007,0.2547,0.1961,-0.85,3.81
CAMIL,CAML3,"Consumo Básico",1984500000,12.97,0.62,0.47,0.0472,0.0183,0.0141,0.2137,0.0690,-0.1867,0.1025,4.67,1.77
CASAN,CASN3,Utilities,12215113880.9,32.26,4.80,0.32,0.1535,0.0921,0.1785,0.5183,0.3971,0.2803,0.1365,2.65,1.20
"CONST A LIND",CALI3,Imobiliário,,4.28,0.62,3.81,0.1500,0.0737,0.0727,0.2716,0.1110,0.6876,0.6484,3.57,3.78
MELIUZ,CASH3,"Serviços de Comunicação",401952644.35,-669.15,0.81,-0.01,-0.0013,-0.0187,-0.0013,0.0424,0.0808,0.2599,0.2970,-2.40,2.05
BANRISUL,BRSR6,Financeiro,7749523392.8,4.12,0.62,4.19,0.1560,,0.0791,0.2923,,,0.2139,,
BRASKEM,BRKM5,Materiais,6821779170.46,-0.76,-0.46,-12.39,1.4256,-0.9220,-0.1397,0.0220,0.0154,0.0932,0.0385,36.78,0.76
"BRB BANCO",BSLI4,Financeiro,2017051573.35,76.14,0.92,0.11,0.0234,,0.0065,0.4405,,,0.3019,,
"BR PARTNERS",BRBI11,Financeiro,,1.68,0.38,0.57,0.2191,0.0011,0.5474,1.0000,0.0998,,,-37.98,1.04
"BTG Pactual",BPAC11,Financeiro,298184006836.52,13.14,2.73,1.10,0.1849,,0.3463,0.9501,,0.3841,0.1705,,
BANPARA,BPAR3,Financeiro,,8.63,0.77,21.09,0.0906,,0.0530,0.4959,,,0.1938,,
"BANCO PAN",BPAN4,"Bancos Digitais",7796745551.25,,,,0.0647,,0.0342,0.4410,,,0.1255,,
BRADESPAR,BRAP4,Financeiro,8344176479.76,16.57,1.01,5.09,0.2540,-0.0038,1.5171,0.5861,0.5270,0.0312,0.0000,0.53,1.62
BRAVA,BRAV3,Energia,9086740162.08,6.77,0.81,3.04,0.1186,0.0341,0.1214,0.2669,0.4248,,1.2440,2.20,1.42
"BANCO BMG",BMGB4,Financeiro,1134211615.25,1.99,0.25,1.41,0.0682,,0.0334,0.3000,,-0.0495,0.1675,,
"MERC INVEST",BMIN4,Financeiro,103498465.18,8.35,0.61,2.15,0.0731,,0.1450,0.0648,,,0.4493,,
MERCANTIL,BMEB4,Financeiro,8298446530.24,14.81,4.00,5.00,0.2908,,0.0750,0.4805,,,0.2988,,
"NORD BRASIL",BNBR3,Financeiro,,3.94,0.76,31.24,0.2038,,0.3051,0.4704,,,0.2069,,
"BEMOBI TECH",BMOB3,Financeiro,2160755814.08,14.67,2.41,1.83,0.1430,0.1049,0.0923,0.2575,0.1255,0.3518,0.6347,-1.62,1.86
"BIC MONARK",BMKS3,"Consumo Discricionário",176547592.5,2.93,0.71,10.52,0.0262,-0.0630,0.2239,0.2887,-1.4207,0.0000,-0.0747,7.73,8.97
BLAU,BLAU3,Saúde,2301803634.27,8.11,1.05,1.26,0.1298,0.0896,0.1733,0.4010,0.2345,0.0301,0.0757,-0.04,2.47
BOMBRIL,BOBR4,"Consumo Básico",287546560.64,-0.20,-0.20,-6.02,1.9376,-0.2101,-0.9620,0.3946,0.1226,0.0728,0.0894,0.82,0.68
BANESTES,BEES3,Financeiro,3029563038.04,5.38,1.25,1.62,0.2368,,0.1033,0.2867,,0.1467,0.2798,,0.83
BARDELLA,BDLL3,Indústria,10312544.72,-0.67,-0.05,-10.53,0.0714,0.2315,-0.2957,0.1543,-0.1604,-0.3030,0.2284,-18.90,0.44
BANESE,BGIP4,Financeiro,1119118163.9,5.37,0.89,6.56,0.1756,,0.0809,0.3063,,,0.2417,,
"BIOMA EDUC",BIED3,"Consumo Discricionário",165658485.34,-2.44,8.55,-2.52,-1.1888,0.0618,-0.2015,0.5013,0.0624,-0.4650,0.1113,1.62,0.21
BIOMM,BIOM3,Saúde,999023133.2,-24.33,3.32,-0.31,-0.1574,0.0139,-0.1588,0.3155,0.0558,,0.3563,3.56,2.23
