Empresa,Ticker,Setor,"Valor de Mercado",P/L,P/VP,LPA,ROE,ROIC,"Margem Líquida","Margem Bruta","Margem EBITDA","CAGR de Lucro","CAGR de Receita","Dívida Líq. / EBITDA","Liquidez Corrente"
"Alphabet Inc.",GOOG,"Communication Services",3562082499030,27.24,8.57,10.81,0.3571,,0.3281,0.5979,0.3877,,,-0.38,2.01
"Alphabet Inc.",GOOGL,"Communication Services",3577929569030,27.39,8.61,10.80,0.3571,,0.3281,0.5979,0.3877,,,-0.38,2.01
"Amazon.com, Inc.",AMZN,"Consumer Cyclical",2251864350899,29.26,5.48,7.17,0.2229,,0.1083,0.4847,0.2093,,,0.37,1.05
"Tesla, Inc.",TSLA,"Consumer Cyclical",1353089449110,333.88,16.47,1.08,0.0493,,0.0400,0.2012,0.1293,,,-2.39,2.16
"NVIDIA Corporation",NVDA,Technology,4311463949999,36.20,27.41,4.90,1.0149,,0.5560,0.7500,0.6694,,,-0.35,3.91
"Microsoft Corp.",MSFT,Technology,2775695685085,23.37,7.10,15.98,0.3439,,0.3904,0.6804,0.6210,,,0.18,1.39
"Apple Inc.",AAPL,Technology,3761493221920,32.35,42.67,7.91,1.5202,,0.2704,0.4816,0.3510,,,0.15,0.97
WHIRLPOOL,WHRL3,"Consumo Discricionário",6159630033.92,13.54,3.32,0.30,0.2007,0.1927,0.0357,0.1888,0.1218,-0.0884,0.0629,-0.28,0.92
"WIZ CO",WIZC3,Financeiro,1373603552.38,7.10,2.05,1.26,0.3057,0.2766,0.1454,0.6132,0.5818,0.0064,0.1149,-0.02,1.11
"WLM IND COM",WLMM3,"Consumo Discricionário",824553604.8,9.85,1.09,2.37,0.1079,0.0848,0.0287,0.1276,0.0495,0.0971,0.2489,1.72,1.85
"YDUQS PART",YDUQ3,"Consumo Discricionário",3061572465.67,18.29,1.13,0.66,0.0594,0.1036,0.0329,0.6050,0.3134,0.1307,0.0746,2.45,1.41
"ZAMP S.A.",ZAMP3,Restaurantes,1424270382.5,13.29,0.95,0.26,0.0721,0.0647,0.0205,0.6511,0.1377,,0.1851,0.93,0.87
VIVEO,VVEO3,Imobiliário,390612935.68,3.49,0.21,0.36,0.0604,0.0727,0.0099,0.1443,0.0581,,,4.14,1.33
"FER C ATLANT",VSPT3,Indústria,,12.34,0.21,0.72,0.0642,0.1257,0.0561,0.1439,0.3138,0.0000,0.1437,-0.51,0.99
"WDC NETWORKS",WDCN3,"Tecnologia da Informação",159922886.76,-0.78,0.32,-3.02,-0.3175,0.2398,-0.2200,0.2711,0.3882,,,-0.51,1.68
VALID,VLID3,"Tecnologia da Informação",1650639683.75,6.36,0.97,3.19,0.1510,0.1662,0.1267,0.3368,0.2144,0.4834,0.0124,0.04,2.42
VESTE,VSTE3,"Consumo Discricionário",394451758.35,22.77,0.36,0.00,0.0000,0.0597,0.0000,0.6367,0.2104,-0.2336,0.1550,1.06,1.53
VULCABRAS,VULC3,"Consumo Discricionário",5357999564.5,4.78,2.28,3.68,0.4911,0.3002,0.3273,0.4104,0.2082,1.0577,0.2473,1.04,3.27
WEG,WEGE3,Indústria,198994846285.18,33.58,12.29,1.52,0.3061,0.2886,0.1563,0.3353,0.2406,0.2219,0.1849,-0.27,1.55
WESTWING,WEST3,"Consumo Discricionário",87763849.2,-8.78,0.40,-0.89,-0.0450,-0.2090,-0.0657,0.3952,-0.1836,,-0.0925,3.99,2.72
"TELEF BRASIL",VIVT3,"Serviços de Comunicação",129094130346.22,21.57,1.94,1.91,0.0903,0.0915,0.1035,0.4475,0.4110,0.0527,0.0668,0.54,1.00
USIMINAS,USIM5,Materiais,8257791321.72,-2.74,0.41,-2.46,-0.1368,0.0304,-0.1172,0.0832,0.0835,0.2118,0.1030,-0.25,4.12
VALE,VALE3,Materiais,350693620408,26.51,2.03,3.04,0.0675,0.2890,0.0647,0.3498,0.4141,-0.1236,0.0048,0.70,1.15
VAMOS,VAMO3,Indústria,4606287281.05,13.83,1.77,0.27,0.1278,0.1082,0.0571,0.5243,0.6455,0.1290,0.3063,3.22,1.81
VIBRA,VBBR3,Energia,36963699296.04,18.91,1.84,1.67,0.0963,0.0848,0.0106,0.0488,0.0298,-0.1249,0.1833,3.48,1.95
VITTIA,VITT3,Materiais,691933943.4,10.88,0.99,0.44,0.1038,0.0653,0.0788,0.2971,0.1049,-0.0459,0.0909,1.54,2.65
"VIVARA S.A.",VIVA3,"Consumo Discricionário",6082092551.75,9.88,2.07,2.62,0.2201,0.2341,0.2047,0.6959,0.2942,0.3340,0.2364,0.15,3.63
VIVER,VIVR3,Imobiliário,19032159.51,-1.13,-0.42,-0.35,-0.2611,-0.0254,-0.3935,0.2989,0.0258,-0.6379,0.5294,0.36,0.90
"TEX RENAUX",TXRX3,"Consumo Discricionário",19146750.61,-0.74,-0.11,-13.40,0.1504,0.1668,-0.4927,0.2119,-0.0241,0.3814,0.0676,-126.10,0.38
3TENTOS,TTEN3,"Consumo Básico",7741404022.62,9.82,1.70,1.63,0.1810,0.0535,0.0497,0.1513,0.0415,,,2.80,1.36
TUPY,TUPY3,Indústria,1625166592.05,-2.72,0.71,-4.96,-0.2178,-0.0169,-0.0678,0.1262,0.0689,-0.2220,0.1788,3.36,2.40
ULTRAPAR,UGPA3,Energia,31600868403.36,13.06,2.05,2.20,0.1550,0.0887,0.0172,0.0657,0.0434,0.2239,0.1187,2.40,1.62
